Title,Director,Budget (INR Crores),Duration (mins),Genre
Husbands and Wives,Woody Allen,166.0,108,Comedy
Trespass,Walter Hill,116.2,101,Action
Rapid Fire,Dwight H. Little,83.0,95,Action
Wind,Carroll Ballard,240.7,126,Action
Hero,Stephen Frears,348.6,119,Comedy
South Central,Stephen Milburn Anderson,33.2,98,Crime
The Muppet Christmas Carol,Brian Henson,99.6,85,Comedy
Mr. Baseball,Fred Schepisi,332.0,108,Comedy
CrissCross,Chris Menges,116.2,100,Crime
Waterland,Stephen Gyllenhaal,83.0,95,Drama
The Distinguished Gentleman,Jonathan Lynn,415.0,112,Comedy
White Sands,Roger Donaldson,182.6,101,Action
Swoon,Tom Kalin,2.08,93,Crime
Knight Moves,Carl Schenkel,74.7,116,Crime
Light Sleeper,Paul Schrader,41.5,103,Crime
A Midnight Clear,Keith Gordon,41.5,108,Drama
A Stranger Among Us,Sidney Lumet,149.4,110,Crime
Where the Day Takes You,Marc Rocco,24.9,105,Crime
Passion Fish,John Sayles,27.64,135,Drama
American Heart,Martin Bell,83.0,113,Crime
Christopher Columbus: The Discovery,John Glen,332.0,120,Adventure
Claire of the Moon,Nicole Conn,1.08,107,Drama
The Public Eye,Howard Franklin,124.5,99,Crime
Article 99,Howard Deutch,149.4,100,Comedy
The Mambo Kings,Arne Glimcher,128.65,104,Drama
City of Joy,Roland JoffÃ©,224.1,132,Drama
Love Field,Jonathan Kaplan,149.4,105,Drama
Mr. Saturday Night,Billy Crystal,356.9,119,Comedy
Twin Dragons,Ringo Lam,83.0,104,Action
The Living End,Gregg Araki,0.19,81,Comedy
Simple Men,Hal Hartley,24.9,105,Crime
Guncrazy,Tamra Davis,6.64,97,Crime
Folks!,Ted Kotcheff,124.5,107,Comedy
Night and the City,Irwin Winkler,166.0,105,Comedy
Whispers in the Dark,Christopher Crowe,149.4,103,Drama
Man Trouble,Bob Rafelson,249.0,100,Comedy
Laws of Gravity,Nick Gomez,0.32,100,Crime
Ruby Cairo,Graeme Clifford,199.2,90,Mystery
The Waterdance,Neal Jimenez,22.41,106,Drama
The Gun in Betty Lou's Handbag,Allan Moyle,107.9,89,Comedy
Tombstone,George P. Cosmatos,207.5,130,Action
Jurassic Park,Steven Spielberg,522.9,127,Action
Dazed and Confused,Richard Linklater,57.27,102,Comedy
Schindler's List,Steven Spielberg,182.6,195,Biography
True Romance,Tony Scott,107.9,119,Crime
Robin Hood: Men in Tights,Mel Brooks,166.0,104,Adventure
A Bronx Tale,Robert De Niro,182.6,121,Crime
What's Eating Gilbert Grape,Lasse HallstrÃ¶m,91.3,118,Drama
Hocus Pocus,Kenny Ortega,232.4,96,Comedy
Carlito's Way,Brian De Palma,249.0,144,Crime
Mrs. Doubtfire,Chris Columbus,207.5,125,Comedy
The Fugitive,Andrew Davis,365.2,130,Action
Demolition Man,Marco Brambilla,473.1,115,Action
Falling Down,Joel Schumacher,207.5,113,Action
The Pelican Brief,Alan J. Pakula,373.5,141,Crime
The Firm,Sydney Pollack,348.6,154,Drama
Last Action Hero,John McTiernan,705.5,130,Action
Sister Act 2: Back in the Habit,Bill Duke,315.4,107,Comedy
Groundhog Day,Harold Ramis,121.18,101,Comedy
Philadelphia,Jonathan Demme,215.8,125,Drama
Super Mario Bros.,Annabel Jankel,398.4,104,Adventure
Sleepless in Seattle,Nora Ephron,174.3,105,Comedy
Cliffhanger,Renny Harlin,581.0,113,Action
The Piano,Jane Campion,58.1,121,Drama
The Nightmare Before Christmas,Henry Selick,149.4,76,Animation
Rookie of the Year,Daniel Stern,83.0,103,Comedy
"Blood In, Blood Out",Taylor Hackford,290.5,180,Crime
In the Name of the Father,Jim Sheridan,107.9,133,Biography
Alive,Frank Marshall,265.6,120,Biography
Addams Family Values,Barry Sonnenfeld,390.1,94,Comedy
Indecent Proposal,Adrian Lyne,315.4,117,Drama
In the Line of Fire,Wolfgang Petersen,332.0,128,Action
The Age of Innocence,Martin Scorsese,282.2,139,Drama
Menace II Society,Albert Hughes,29.05,97,Crime
Gettysburg,Ron Maxwell,207.5,271,Drama
The Three Musketeers,Stephen Herek,249.0,105,Action
The Secret Garden,Agnieszka Holland,149.4,101,Drama
Free Willy,Simon Wincer,166.0,112,Adventure
RoboCop 3,Fred Dekker,182.6,104,Action
The Remains of the Day,James Ivory,124.5,134,Drama
Hard Target,John Woo,149.4,97,Action
Fire in the Sky,Robert Lieberman,124.5,109,Biography
Cool Runnings,Jon Turteltaub,116.2,98,Adventure
Dave,Ivan Reitman,232.4,110,Comedy
Kalifornia,Dominic Sena,74.7,117,Crime
Sliver,Phillip Noyce,332.0,107,Drama
Coneheads,Steve Barron,273.9,88,Comedy
So I Married an Axe Murderer,Thomas Schlamme,166.0,93,Comedy
Hot Shots! Part Deux,Jim Abrahams,207.5,86,Action
Much Ado About Nothing,Kenneth Branagh,91.3,111,Comedy
The Crush,Alan Shapiro,49.8,89,Drama
Loaded Weapon 1,Gene Quintano,107.9,84,Action
A Perfect World,Clint Eastwood,249.0,138,Crime
Leprechaun,Mark Jones,7.47,92,Comedy
Malice,Harold Becker,166.0,107,Crime
What's Love Got to Do with It,Brian Gibson,124.5,118,Biography
Striking Distance,Rowdy Herrington,249.0,102,Action
Return of the Living Dead III,Brian Yuzna,16.6,97,Horror
Searching for Bobby Fischer,Steven Zaillian,99.6,109,Biography
Jason Goes to Hell: the Final Friday,Adam Marcus,24.9,87,Fantasy
Matinee,Joe Dante,107.9,99,Comedy
The Good Son,Joseph Ruben,141.1,87,Drama
The Beverly Hillbillies,Penelope Spheeris,207.5,92,Comedy
Beethoven's 2nd,Rod Daniel,124.5,89,Comedy
Killing Zoe,Roger Avary,12.45,96,Crime
Cronos,Guillermo del Toro,16.6,94,Fantasy
Geronimo: An American Legend,Walter Hill,290.5,115,Drama
Wayne's World 2,Stephen Surjik,332.0,95,Comedy
Romeo Is Bleeding,Peter Medak,95.45,110,Crime
Rising Sun,Philip Kaufman,290.5,129,Action
For Love or Money,Barry Sonnenfeld,249.0,96,Comedy
Teenage Mutant Ninja Turtles III,Stuart Gillard,174.3,96,Action
Body Snatchers,Abel Ferrara,107.9,87,Horror
Airborne,Rob Bowman,21.58,91,Adventure
The Thing Called Love,Peter Bogdanovich,116.2,116,Comedy
The House of the Spirits,Bille August,332.0,140,Drama
Little Buddha,Bernardo Bertolucci,290.5,123,Drama
Dragon,Rob Cohen,116.2,120,Action
Poetic Justice,John Singleton,116.2,109,Drama
The Joy Luck Club,Wayne Wang,91.3,139,Drama
Untamed Heart,Tony Bill,62.25,102,Drama
Batman: Mask of the Phantasm,Directors,49.8,76,Animation
Freaked,Tom Stern,91.3,80,Comedy
Heart and Souls,Ron Underwood,207.5,104,Comedy
Ruby in Paradise,Victor Nunez,6.64,114,Drama
Six Degrees of Separation,Fred Schepisi,99.6,112,Comedy
Farewell My Concubine,Kaige Chen,33.2,171,Drama
Judgment Night,Stephen Hopkins,174.3,110,Action
Shadowlands,Richard Attenborough,182.6,131,Biography
Arizona Dream,Emir Kusturica,157.7,142,Comedy
Nowhere to Run,Robert Harmon,124.5,94,Action
King of the Hill,Steven Soderbergh,66.4,103,Drama
Mad Dog and Glory,John McNaughton,157.7,97,Comedy
Red Rock West,John Dahl,66.4,98,Crime
The Program,David S. Ward,124.5,112,Action
Ghost in the Machine,Rachel Talalay,99.6,95,Horror
Manhattan Murder Mystery,Woody Allen,112.05,104,Comedy
Weekend at Bernie's II,Robert Klane,58.1,97,Adventure
The Adventures of Huck Finn,Stephen Sommers,53.95,108,Adventure
Made in America,Richard Benjamin,182.6,111,Comedy
The Dark Half,George A. Romero,124.5,122,Horror
Only the Strong,Sheldon Lettich,49.8,99,Action
My Life,Bruce Joel Rubin,124.5,117,Drama
Look Who's Talking Now,Tom Ropelewski,182.6,96,Comedy
The Meteor Man,Robert Townsend,166.0,100,Action
CB4,Tamra Davis,49.8,89,Comedy
Calendar Girl,John Whitesell,107.9,90,Comedy
Heaven & Earth,Oliver Stone,273.9,140,Action
Indian Summer,Mike Binder,74.7,97,Comedy
Once Upon a Forest,Charles Grosvenor,107.9,71,Animation
Posse,Mario Van Peebles,83.0,111,Western
Even Cowgirls Get the Blues,Gus Van Sant,66.4,106,Comedy
Best of the Best II,Robert Radler,58.1,101,Action
The Thief and the Cobbler,Richard Williams,207.5,90,Animation
My Boyfriend's Back,Bob Balaban,99.6,85,Comedy
Warlock: The Armageddon,Anthony Hickox,24.9,98,Action
Iron Monkey,Woo-Ping Yuen,91.3,85,Action
Mr. Nanny,Michael Gottlieb,83.0,84,Action
"Faraway, So Close!",Wim Wenders,87.15,140,Drama
Dangerous Game,Abel Ferrara,83.0,108,Drama
Deadfall,Christopher Coppola,83.0,98,Crime
A Home of Our Own,Tony Bill,99.6,104,Biography
Guilty as Sin,Sidney Lumet,99.6,107,Crime
The Wedding Banquet,Ang Lee,8.3,106,Comedy
Aspen Extreme,Patrick Hasburgh,116.2,113,Drama
Blink,Michael Apted,91.3,106,Crime
Sugar Hill,Leon Ichaso,83.0,123,Crime
Man's Best Friend,John Lafia,49.8,87,Comedy
Mr. Jones,Mike Figgis,207.5,114,Drama
Carnosaur,Adam Simon,7.05,83,Horror
Mr. Wonderful,Anthony Minghella,107.9,98,Comedy
Cop & Â½,Henry Winkler,116.2,97,Comedy
Madadayo,Akira Kurosawa,98.77,134,Drama
Money for Nothing,RamÃ³n MenÃ©ndez,91.3,100,Comedy
Son of the Pink Panther,Blake Edwards,207.5,93,Comedy
"Bodies, Rest & Motion",Michael Steinberg,20.75,95,Drama
Mother's Boys,Yves Simoneau,66.4,96,Drama
The Nutcracker,Emile Ardolino,157.7,92,Family
Philadelphia Experiment II,Stephen Cornwell,41.5,97,Action
Fear of a Black Hat,Rusty Cundieff,8.3,88,Comedy
Ed and His Dead Mother,Jonathan Wacks,14.94,93,Comedy
Boiling Point,James B. Harris,74.7,92,Action
Josh and S.A.M.,Billy Weber,149.4,96,Adventure
The Night We Never Met,Warren Leight,66.4,99,Comedy
The Shawshank Redemption,Frank Darabont,207.5,142,Drama
Pulp Fiction,Quentin Tarantino,66.4,154,Crime
Forrest Gump,Robert Zemeckis,456.5,142,Drama
True Lies,James Cameron,954.5,141,Action
The Lion King,Roger Allers,373.5,88,Animation
The Mask,Chuck Russell,190.9,101,Action
Speed,Jan de Bont,249.0,116,Action
Stargate,Roland Emmerich,456.5,116,Action
The Little Rascals,Penelope Spheeris,190.9,82,Comedy
Dumb and Dumber,Peter Farrelly,141.1,107,Comedy
Legends of the Fall,Edward Zwick,249.0,133,Drama
Natural Born Killers,Oliver Stone,282.2,118,Action
The Crow,Alex Proyas,190.9,102,Action
Interview with the Vampire: the Vampire Chronicles,Neil Jordan,498.0,123,Drama
Four Weddings and a Funeral,Mike Newell,36.52,117,Comedy
The Flintstones,Brian Levant,381.8,91,Comedy
Ace Ventura: Pet Detective,Tom Shadyac,124.5,86,Comedy
Little Women,Gillian Armstrong,149.4,115,Drama
Street Fighter,Steven E. de Souza,290.5,102,Action
Clear and Present Danger,Phillip Noyce,514.6,141,Action
Heavenly Creatures,Peter Jackson,41.5,99,Biography
Clerks,Kevin Smith,0.22,92,Comedy
Maverick,Richard Donner,622.5,127,Action
Wyatt Earp,Lawrence Kasdan,522.9,191,Adventure
The Last Seduction,John Dahl,20.75,110,Crime
Little Giants,Duwayne Dunham,166.0,107,Comedy
Ed Wood,Tim Burton,149.4,127,Biography
Star Trek: Generations,David Carson,290.5,118,Action
Disclosure,Barry Levinson,456.5,128,Drama
Angels in the Outfield,William Dear,199.2,102,Comedy
In the Mouth of Madness,John Carpenter,66.4,95,Drama
Richie Rich,Donald Petrie,332.0,95,Comedy
Beverly Hills Cop III,John Landis,415.0,104,Action
Reality Bites,Ben Stiller,95.45,99,Comedy
Naked Gun 33 1/3: the Final Insult,Peter Segal,249.0,83,Comedy
Junior,Ivan Reitman,498.0,109,Comedy
New Nightmare,Wes Craven,66.4,112,Fantasy
Baby's Day Out,Patrick Read Johnson,398.4,99,Adventure
The River Wild,Curtis Hanson,373.5,111,Adventure
Texas Chainsaw Massacre: The Next Generation,Kim Henkel,4.98,87,Comedy
The Next Karate Kid,Christopher Cain,99.6,107,Action
Blown Away,Stephen Hopkins,232.4,121,Action
Color of Night,Richard Rush,332.0,121,Mystery
North,Rob Reiner,332.0,87,Adventure
Muriel's Wedding,P.J. Hogan,74.7,106,Comedy
The Client,Joel Schumacher,373.5,119,Crime
It Could Happen to You,Andrew Bergman,166.0,101,Comedy
Wolf,Mike Nichols,581.0,125,Drama
Mary Shelley's Frankenstein,Kenneth Branagh,373.5,123,Drama
Exit to Eden,Garry Marshall,207.5,113,Comedy
The Jungle Book,Stephen Sommers,224.1,111,Adventure
The Hudsucker Proxy,Joel Coen,332.0,111,Comedy
Timecop,Peter Hyams,224.1,99,Action
The Santa Clause,John Pasquin,182.6,97,Comedy
The Specialist,Luis Llosa,373.5,110,Action
The Pagemaster,Pixote Hunt,224.1,80,Animation
Shallow Grave,Danny Boyle,20.75,89,Crime
Serial Mom,John Waters,107.9,95,Comedy
Bad Girls,Jonathan Kaplan,207.5,99,Action
The Shadow,Russell Mulcahy,207.5,108,Action
Blue Sky,Tony Richardson,132.8,101,Drama
Quiz Show,Robert Redford,257.3,133,Biography
Surviving the Game,Ernest R. Dickerson,61.42,96,Action
Nell,Michael Apted,203.35,112,Drama
Major League II,David S. Ward,207.5,105,Comedy
Don Juan DeMarco,Jeremy Leven,207.5,97,Comedy
Clifford,Paul Flaherty,157.7,90,Comedy
Thumbelina,Don Bluth,232.4,86,Animation
Double Dragon,James Yukich,65.16,96,Action
Death and the Maiden,Roman Polanski,99.6,103,Drama
PCU,Hart Bochner,66.4,79,Comedy
The Postman,Michael Radford,24.9,108,Biography
8 Seconds,John G. Avildsen,58.1,105,Biography
The Madness of King George,Nicholas Hytner,546.95,110,Biography
Nobody's Fool,Robert Benton,166.0,110,Comedy
The Secret of Roan Inish,John Sayles,24.9,103,Drama
Above the Rim,Jeff Pollack,29.05,96,Crime
Police Academy: Mission to Moscow,Alan Metter,51.46,83,Comedy
On Deadly Ground,Steven Seagal,415.0,101,Action
Ready to Wear,Robert Altman,149.4,133,Comedy
Bullets Over Broadway,Woody Allen,166.0,98,Comedy
Crooklyn,Spike Lee,116.2,115,Comedy
Spanking the Monkey,David O. Russell,1.66,100,Comedy
The Legend of Drunken Master,Chia-Liang Liu,83.0,102,Action
Intersection,Mark Rydell,373.5,98,Drama
The Swan Princess,Richard Rich,373.5,90,Animation
Renaissance Man,Penny Marshall,332.0,128,Comedy
Jason's Lyric,Doug McHenry,58.1,119,Crime
The Cowboy Way,Gregg Champion,290.5,102,Action
No Escape,Martin Campbell,166.0,118,Action
The Road to Wellville,Alan Parker,207.5,118,Comedy
Highlander: The Final Dimension,Andrew Morahan,215.8,99,Action
Cemetery Man,Michele Soavi,33.2,105,Comedy
Cabin Boy,Adam Resnick,74.7,80,Adventure
Guarding Tess,Hugh Wilson,166.0,96,Comedy
Drop Zone,John Badham,373.5,101,Action
Death Wish: The Face of Death,Allan A. Goldstein,41.5,95,Action
City Slickers II: the Legend of Curly's Gold,Paul Weiland,332.0,116,Comedy
The Ref,Ted Demme,91.3,96,Comedy
I.Q.,Fred Schepisi,207.5,100,Comedy
3 Ninjas Kick Back,Charles T. Kanganis,166.0,93,Action
The Favor,Donald Petrie,107.9,97,Comedy
The Paper,Ron Howard,49.8,112,Comedy
Terminal Velocity,Deran Sarafian,415.0,102,Action
China Moon,John Bailey,124.5,99,Crime
Little Odessa,James Gray,19.09,98,Crime
Fresh,Boaz Yakin,29.05,114,Crime
Leprechaun 2,Rodman Flender,16.6,85,Comedy
Love Affair,Glenn Gordon Caron,498.0,108,Comedy
Mixed Nuts,Nora Ephron,124.5,97,Comedy
Silent Fall,Bruce Beresford,249.0,101,Drama
The Air Up There,Paul Michael Glaser,141.76,107,Comedy
A Low Down Dirty Shame,Keenen Ivory Wayans,83.0,108,Action
Swimming with Sharks,George Huang,5.81,93,Comedy
I Love Trouble,Charles Shyer,373.5,123,Action
Mosquito,Gary Jones,1.66,92,Horror
Blankman,Mike Binder,249.0,92,Action
Mrs. Parker and the Vicious Circle,Alan Rudolph,58.1,125,Biography
Barcelona,Whit Stillman,26.56,101,Comedy
Pred dozhdot,Milcho Manchevski,15.77,113,Drama
Burnt by the Sun,Nikita Mikhalkov,23.24,135,Drama
There Goes My Baby,Floyd Mutrux,87.15,99,Comedy
Radioland Murders,Mel Smith,124.5,108,Comedy
Being Human,Bill Forsyth,332.0,122,Comedy
Jimmy Hollywood,Barry Levinson,249.0,112,Crime
Squanto: A Warrior's Tale,Xavier Koller,159.36,102,Adventure
My Summer Story,Bob Clark,124.5,85,Comedy
Getting Even with Dad,Howard Deutch,249.0,109,Comedy
Rapa Nui,Kevin Reynolds,166.0,107,Action
Heat,Michael Mann,498.0,170,Crime
Clueless,Amy Heckerling,99.6,97,Comedy
Se7en,David Fincher,273.9,127,Crime
Braveheart,Mel Gibson,597.6,178,Biography
Apollo 13,Ron Howard,431.6,140,Adventure
The Usual Suspects,Bryan Singer,49.8,106,Crime
Jumanji,Joe Johnston,539.5,104,Adventure
Casino,Martin Scorsese,431.6,178,Crime
Congo,Frank Marshall,415.0,109,Action
Batman Forever,Joel Schumacher,830.0,121,Action
Kids,Larry Clark,12.45,91,Drama
Toy Story,John Lasseter,249.0,81,Animation
Desperado,Robert Rodriguez,58.1,104,Action
Die Hard with a Vengeance,John McTiernan,747.0,128,Action
Mortal Kombat,Paul W.S. Anderson,149.4,101,Action
Mallrats,Kevin Smith,66.4,94,Comedy
12 Monkeys,Terry Gilliam,240.7,129,Mystery
Leaving Las Vegas,Mike Figgis,29.88,111,Drama
Showgirls,Paul Verhoeven,373.5,128,Drama
Before Sunrise,Richard Linklater,20.75,101,Drama
Friday,F. Gary Gray,29.05,91,Comedy
Sense and Sensibility,Ang Lee,132.8,136,Drama
Waterworld,Kevin Reynolds,1452.5,135,Action
The Basketball Diaries,Scott Kalvert,16.6,102,Biography
Bad Boys,Michael Bay,157.7,119,Action
Billy Madison,Tamra Davis,83.0,89,Comedy
Mighty Morphin Power Rangers: The Movie,Bryan Spicer,166.0,95,Action
GoldenEye,Martin Campbell,498.0,130,Action
Species,Roger Donaldson,290.5,108,Action
Outbreak,Wolfgang Petersen,415.0,127,Action
Four Rooms,Directors,33.2,98,Comedy
The Quick and the Dead,Sam Raimi,265.6,107,Action
Hackers,Iain Softley,166.0,105,Comedy
Casper,Brad Silberling,415.0,100,Comedy
Tank Girl,Rachel Talalay,207.5,104,Action
Pocahontas,Mike Gabriel,456.5,81,Animation
A Goofy Movie,Kevin Lima,149.4,78,Animation
Dangerous Minds,John N. Smith,190.9,99,Biography
Crimson Tide,Tony Scott,439.9,116,Action
To Die For,Gus Van Sant,166.0,106,Comedy
Sabrina,Sydney Pollack,481.4,127,Comedy
While You Were Sleeping,Jon Turteltaub,141.1,103,Comedy
Get Shorty,Barry Sonnenfeld,251.07,105,Comedy
Babe,Chris Noonan,249.0,91,Comedy
Dead Man Walking,Tim Robbins,91.3,122,Crime
The Brady Bunch Movie,Betty Thomas,99.6,90,Comedy
Johnny Mnemonic,Robert Longo,215.8,96,Action
The Bridges of Madison County,Clint Eastwood,199.2,135,Drama
Strange Days,Kathryn Bigelow,348.6,145,Action
Cutthroat Island,Renny Harlin,813.4,124,Action
Judge Dredd,Danny Cannon,747.0,96,Action
The City of Lost Children,Marc Caro,149.4,112,Fantasy
Copycat,Jon Amiel,166.0,123,Drama
Powder,Victor Salva,78.85,111,Drama
A Little Princess,Alfonso CuarÃ³n,141.1,97,Drama
The American President,Rob Reiner,514.6,114,Comedy
Under Siege 2: Dark Territory,Geoff Murphy,498.0,100,Action
Mr. Holland's Opus,Stephen Herek,190.9,143,Drama
The Prophecy,Gregory Widen,66.4,98,Action
Dead Man,Jim Jarmusch,74.7,121,Adventure
Ace Ventura: When Nature Calls,Steve Oedekerk,249.0,90,Adventure
First Knight,Jerry Zucker,456.5,134,Action
Jade,William Friedkin,415.0,95,Crime
The Big Green,Holly Goldberg Sloan,99.6,100,Comedy
Virtuosity,Brett Leonard,249.0,106,Action
Halloween: The Curse of Michael Myers,Joe Chappelle,41.5,87,Horror
Father of the Bride Part II,Charles Shyer,249.0,106,Comedy
Assassins,Richard Donner,415.0,132,Action
A Walk in the Clouds,Alfonso Arau,166.0,102,Drama
Rob Roy,Michael Caton-Jones,232.4,139,Adventure
Dead Presidents,Albert Hughes,83.0,119,Action
The Baby-Sitters Club,Melanie Mayron,53.95,94,Comedy
Waiting to Exhale,Forest Whitaker,132.8,124,Comedy
Welcome to the Dollhouse,Todd Solondz,6.64,88,Comedy
The Indian in the Cupboard,Frank Oz,373.5,96,Drama
Rumble in the Bronx,Stanley Tong,62.25,87,Action
Devil in a Blue Dress,Carl Franklin,224.1,102,Crime
How to Make an American Quilt,Jocelyn Moorhouse,83.0,117,Comedy
Tales from the Crypt: Demon Knight,Ernest R. Dickerson,107.9,92,Action
The Net,Irwin Winkler,182.6,114,Action
Living in Oblivion,Tom DiCillo,4.15,90,Comedy
Dracula: Dead and Loving It,Mel Brooks,249.0,88,Comedy
Village of the Damned,John Carpenter,182.6,98,Horror
Wild Bill,Walter Hill,249.0,98,Action
Grumpier Old Men,Howard Deutch,207.5,101,Comedy
Boys on the Side,Herbert Ross,174.3,115,Comedy
Tales from the Hood,Rusty Cundieff,49.8,98,Crime
Money Train,Joseph Ruben,564.4,110,Action
Candyman: Farewell to the Flesh,Bill Condon,49.8,95,Horror
The Crossing Guard,Sean Penn,74.7,111,Drama
Nixon,Oliver Stone,365.2,192,Biography
Hideaway,Brett Leonard,124.5,106,Fantasy
Underground,Emir Kusturica,116.2,167,Comedy
Mighty Aphrodite,Woody Allen,124.5,95,Comedy
Total Eclipse,Agnieszka Holland,66.4,111,Biography
Fair Game,Andrew Sipes,415.0,91,Action
Lord of Illusions,Clive Barker,99.6,109,Horror
The Scarlet Letter,Roland JoffÃ©,381.8,135,Drama
Nick of Time,John Badham,273.9,90,Action
Things to Do in Denver When You're Dead,Gary Fleder,58.1,115,Crime
Safe,Todd Haynes,8.3,119,Drama
Sudden Death,Peter Hyams,290.5,111,Action
Canadian Bacon,Michael Moore,91.3,91,Comedy
Screamers,Christian Duguay,166.0,108,Horror
Vampire in Brooklyn,Wes Craven,166.0,100,Comedy
A Kid in King Arthur's Court,Michael Gottlieb,124.5,89,Adventure
Othello,Oliver Parker,91.3,123,Drama
Clockers,Spike Lee,207.5,128,Crime
Smoke,Wayne Wang,58.1,112,Comedy
Tall Tale,Jeremiah S. Chechik,265.6,96,Adventure
Kiss of Death,Barbet Schroeder,332.0,101,Crime
Home for the Holidays,Jodie Foster,166.0,103,Comedy
Angels and Insects,Philip Haas,41.48,116,Drama
The Hunted,J.F. Lawton,166.0,110,Action
Restoration,Michael Hoffman,157.7,117,Biography
My Family,Gregory Nava,45.65,128,Drama
The Brothers McMullen,Edward Burns,1.98,98,Comedy
The Englishman Who Went Up a Hill But Came Down a Mountain,Christopher Monger,340.28,99,Comedy
Blue in the Face,Paul Auster,16.6,83,Comedy
Party Girl,Daisy von Scherler Mayer,1.25,94,Comedy
Losing Isaiah,Stephen Gyllenhaal,141.1,111,Drama
The Underneath,Steven Soderbergh,53.95,99,Crime
The Pebble and the Penguin,Don Bluth,232.4,74,Animation
Fluke,Carlo Carlei,124.5,96,Drama
Houseguest,Randall Miller,87.15,113,Comedy
Bad Company,Damian Harris,124.5,108,Crime
The White Balloon,Jafar Panahi,1.25,85,Drama
White Man's Burden,Desmond Nakano,58.1,89,Drama
Never Talk to Strangers,Peter Hall,53.12,86,Crime
Top Dog,Aaron Norris,49.8,86,Action
The Incredibly True Adventure of Two Girls in Love,Maria Maggenti,2.08,94,Comedy
Rumpelstiltskin,Mark Jones,24.9,87,Comedy
An Awfully Big Adventure,Mike Newell,33.2,112,Comedy
Dr. Jekyll and Ms. Hyde,David Price,66.4,90,Comedy
Jefferson in Paris,James Ivory,116.2,139,Biography
Three Wishes,Martha Coolidge,83.0,115,Drama
New Jersey Drive,Nick Gomez,41.5,98,Crime
Beyond Rangoon,John Boorman,190.9,100,Action
The Walking Dead,Preston A. Whitmore II,124.5,88,Action
Space Jam,Joe Pytka,664.0,88,Animation
Independence Day,Roland Emmerich,622.5,145,Action
Romeo + Juliet,Baz Luhrmann,120.35,120,Drama
Scream,Wes Craven,116.2,111,Horror
Sleepers,Barry Levinson,365.2,147,Crime
From Dusk Till Dawn,Robert Rodriguez,157.7,108,Action
Fargo,Joel Coen,58.1,98,Crime
Mission: Impossible,Brian De Palma,664.0,110,Action
Matilda,Danny DeVito,298.8,102,Comedy
Twister,Jan de Bont,763.6,113,Action
Happy Gilmore,Dennis Dugan,99.6,92,Comedy
101 Dalmatians,Stephen Herek,622.5,103,Adventure
Crash,David Cronenberg,74.7,100,Drama
Jerry Maguire,Cameron Crowe,415.0,139,Comedy
The Rock,Michael Bay,622.5,136,Action
A Time to Kill,Joel Schumacher,332.0,149,Crime
The Craft,Andrew Fleming,124.5,101,Drama
Primal Fear,Gregory Hoblit,249.0,129,Crime
Mars Attacks!,Tim Burton,581.0,106,Comedy
The English Patient,Anthony Minghella,224.1,162,Drama
The Long Kiss Goodnight,Renny Harlin,539.5,121,Action
Bottle Rocket,Wes Anderson,58.1,91,Comedy
Stealing Beauty,Bernardo Bertolucci,83.0,118,Drama
Bound,Lana Wachowski,37.35,109,Crime
Sling Blade,Billy Bob Thornton,8.3,135,Drama
The Mirror Has Two Faces,Barbra Streisand,348.6,126,Comedy
The Birdcage,Mike Nichols,257.3,117,Comedy
That Thing You Do!,Tom Hanks,215.8,108,Comedy
The Island of Dr. Moreau,John Frankenheimer,332.0,96,Horror
Kingpin,Bobby Farrelly,224.1,114,Comedy
The Hunchback of Notre Dame,Gary Trousdale,830.0,91,Animation
The Frighteners,Peter Jackson,249.0,110,Comedy
Eraser,Chuck Russell,830.0,115,Action
Striptease,Andrew Bergman,332.0,115,Comedy
Star Trek: First Contact,Jonathan Frakes,373.5,111,Action
Swingers,Doug Liman,1.66,96,Comedy
Escape from L.A.,John Carpenter,415.0,101,Action
The Cable Guy,Ben Stiller,390.1,96,Comedy
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Paris Barclay,31.54,89,Comedy
Thinner,Tom Holland,70.55,93,Fantasy
Hard Eight,Paul Thomas Anderson,24.9,101,Crime
The Nutty Professor,Tom Shadyac,448.2,95,Comedy
Hamlet,Kenneth Branagh,149.4,242,Drama
Big Night,Campbell Scott,34.03,109,Drama
The Ghost and the Darkness,Stephen Hopkins,456.5,110,Adventure
Courage Under Fire,Edward Zwick,381.8,116,Action
The First Wives Club,Hugh Wilson,215.8,103,Comedy
Set It Off,F. Gary Gray,74.7,123,Action
James and the Giant Peach,Henry Selick,315.4,79,Animation
DragonHeart,Rob Cohen,473.1,103,Action
Executive Decision,Stuart Baird,456.5,133,Action
Bio-Dome,Jason Bloom,124.5,88,Comedy
Jack,Francis Ford Coppola,373.5,113,Comedy
White Squall,Ridley Scott,315.4,129,Adventure
Broken Arrow,John Woo,415.0,108,Action
Emma,Douglas McGrath,49.8,120,Comedy
Chain Reaction,Andrew Davis,415.0,107,Action
Kama Sutra: A Tale of Love,Mira Nair,24.9,114,Crime
The Crucible,Nicholas Hytner,207.5,124,Drama
Waiting for Guffman,Christopher Guest,33.2,84,Comedy
Secrets & Lies,Mike Leigh,37.35,136,Comedy
Daylight,Rob Cohen,664.0,114,Action
Last Man Standing,Walter Hill,556.1,101,Action
The Arrival,David Twohy,207.5,115,Mystery
Ransom,Ron Howard,664.0,121,Action
Beavis and Butt-Head Do America,Directors,99.6,81,Animation
