Director,Duration (mins),Budget (INR Crores),Genre
Vishal Bhardwaj,120,63.81,Thriller
Sandeep Reddy Vanga,135,476.9,Action
Vishal Bhardwaj,137,224.85,Adventure
Rohit Shetty,147,155.21,Fantasy
Rajkumar Hirani,128,483.47,Musical
Zoya Akhtar,113,274.87,Fantasy
Lokesh Kanagaraj,115,136.23,Biography
Anurag Basu,173,238.12,Crime
Karan Johar,169,473.4,Horror
Sriram Raghavan,147,48.29,Action
Rajkumar Hirani,148,53.6,Crime
Lokesh Kanagaraj,107,290.32,Sci-Fi
Zoya Akhtar,101,178.68,Adventure
Zoya Akhtar,132,484.79,Romantic Comedy
Atlee,106,236.93,Comedy
Anurag Basu,105,230.12,Adventure
Prashanth Neel,119,397.62,Crime
Anurag Kashyap,107,302.93,Thriller
Anurag Kashyap,100,152.5,Musical
Karan Johar,138,133.18,Drama
Rajkumar Hirani,94,124.89,Musical
Sanjay Leela Bhansali,155,420.54,Adventure
Prashanth Neel,172,69.0,Romance
Karan Johar,105,482.35,Historical
Rajkumar Hirani,160,407.87,Fantasy
Kabir Khan,135,148.61,Romantic Comedy
S.S. Rajamouli,174,425.6,Romance
Karan Johar,117,199.67,Historical
Rohit Shetty,157,160.58,Fantasy
Mani Ratnam,150,103.43,Historical
Prashanth Neel,115,61.91,Crime
Sandeep Reddy Vanga,120,166.34,Fantasy
Mani Ratnam,128,312.76,Comedy
Rohit Shetty,177,302.9,Historical
Anurag Basu,115,181.58,Biography
Shoojit Sircar,149,201.21,Action
Sanjay Leela Bhansali,102,339.03,Comedy
Sriram Raghavan,138,353.92,Animation
Prashanth Neel,102,178.2,Adventure
Anurag Kashyap,157,390.93,Romance
S.S. Rajamouli,176,192.41,Biography
Vishal Bhardwaj,146,379.7,Animation
Mani Ratnam,134,123.05,Musical
Karan Johar,126,154.49,Horror
Anurag Kashyap,146,282.85,Comedy
Lokesh Kanagaraj,116,260.54,Fantasy
Mani Ratnam,99,192.05,Comedy
Ayan Mukerji,95,231.74,Comedy
Sanjay Leela Bhansali,151,164.51,Romantic Comedy
Vishal Bhardwaj,107,439.65,Thriller
Sandeep Reddy Vanga,154,333.52,Animation
Vishal Bhardwaj,100,56.63,Musical
Rajkumar Hirani,96,270.29,Action
Vishal Bhardwaj,92,211.64,Thriller
Anurag Kashyap,126,213.42,Thriller
Karan Johar,111,332.34,Action
Anurag Basu,144,250.53,Animation
Sriram Raghavan,128,471.42,Sci-Fi
Imtiaz Ali,101,421.05,Drama
Atlee,149,170.66,Historical
S.S. Rajamouli,108,412.42,Romantic Comedy
Atlee,149,158.78,Romance
Rohit Shetty,116,40.57,Sci-Fi
Anurag Kashyap,147,230.87,Musical
S.S. Rajamouli,115,443.24,Thriller
Atlee,149,72.48,Fantasy
Imtiaz Ali,173,148.85,Historical
Anurag Kashyap,91,330.58,Adventure
Vishal Bhardwaj,92,470.01,Horror
Atlee,169,269.31,Action
Zoya Akhtar,94,287.29,Fantasy
Rajkumar Hirani,95,495.15,Action
Rohit Shetty,110,285.67,Action
Prashanth Neel,129,91.58,Horror
Shoojit Sircar,151,359.73,Historical
Imtiaz Ali,153,450.77,Historical
Anurag Kashyap,114,180.25,Romance
Ayan Mukerji,112,336.93,Biography
Imtiaz Ali,146,170.67,Comedy
Atlee,93,255.6,Romance
Sandeep Reddy Vanga,148,61.17,Animation
Vishal Bhardwaj,164,31.61,Historical
Karan Johar,101,424.34,Horror
Zoya Akhtar,120,432.51,Biography
Anurag Kashyap,152,207.17,Historical
Zoya Akhtar,151,315.04,Thriller
Kabir Khan,95,140.61,Action
Rajkumar Hirani,156,42.09,Romance
Sriram Raghavan,173,182.11,Adventure
Lokesh Kanagaraj,92,477.88,Fantasy
Atlee,123,317.53,Fantasy
Anurag Kashyap,176,42.54,Historical
Anurag Kashyap,158,366.21,Musical
Zoya Akhtar,95,212.45,Adventure
Shoojit Sircar,137,198.06,Crime
Karan Johar,132,435.19,Animation
Mani Ratnam,180,264.09,Animation
Zoya Akhtar,94,67.96,Adventure
Rajkumar Hirani,119,169.49,Sci-Fi
Lokesh Kanagaraj,150,363.19,Drama
Rohit Shetty,114,488.64,Sci-Fi
Sanjay Leela Bhansali,109,159.52,Animation
Rajkumar Hirani,156,403.7,Crime
Kabir Khan,160,465.1,Animation
S.S. Rajamouli,130,308.28,Musical
Atlee,110,383.37,Action
Ayan Mukerji,141,376.09,Sci-Fi
Shoojit Sircar,164,286.68,Sci-Fi
Atlee,95,315.76,Fantasy
S.S. Rajamouli,124,291.9,Thriller
Vishal Bhardwaj,141,331.67,Drama
Karan Johar,124,120.99,Fantasy
Anurag Basu,96,425.77,Action
Rajkumar Hirani,92,226.4,Historical
Zoya Akhtar,96,72.77,Drama
Atlee,98,184.87,Animation
Rohit Shetty,124,100.11,Sci-Fi
Rajkumar Hirani,155,481.47,Romantic Comedy
Sanjay Leela Bhansali,147,356.05,Biography
Sriram Raghavan,121,387.33,Animation
Sandeep Reddy Vanga,102,378.46,Fantasy
Rajkumar Hirani,152,224.43,Historical
Prashanth Neel,139,327.04,Romance
Kabir Khan,172,289.76,Sci-Fi
Anurag Basu,105,338.29,Adventure
Mani Ratnam,162,430.7,Drama
Anurag Kashyap,101,238.17,Romance
Zoya Akhtar,154,468.11,Adventure
Rohit Shetty,150,472.1,Fantasy
S.S. Rajamouli,99,443.37,Crime
Sriram Raghavan,94,186.51,Thriller
Prashanth Neel,168,125.71,Animation
S.S. Rajamouli,123,284.76,Adventure
Zoya Akhtar,169,112.11,Action
Shoojit Sircar,138,489.51,Adventure
Ayan Mukerji,156,312.53,Musical
Sanjay Leela Bhansali,173,368.71,Biography
Prashanth Neel,172,336.05,Musical
Anurag Kashyap,118,116.23,Comedy
S.S. Rajamouli,177,299.83,Thriller
S.S. Rajamouli,98,120.58,Adventure
Shoojit Sircar,154,112.51,Comedy
Sanjay Leela Bhansali,170,32.36,Animation
S.S. Rajamouli,141,58.29,Romantic Comedy
Anurag Basu,168,114.92,Sci-Fi
Anurag Basu,160,273.07,Thriller
Kabir Khan,127,345.08,Comedy
Karan Johar,177,115.63,Horror
Anurag Kashyap,112,432.5,Thriller
Anurag Kashyap,97,147.24,Crime
Ayan Mukerji,144,258.66,Animation
Prashanth Neel,128,387.56,Biography
Ayan Mukerji,158,43.22,Drama
Karan Johar,180,185.34,Fantasy
Rajkumar Hirani,125,293.04,Crime
Anurag Basu,113,28.91,Sci-Fi
Sandeep Reddy Vanga,168,117.19,Horror
Karan Johar,111,252.43,Action
S.S. Rajamouli,137,319.93,Adventure
Sanjay Leela Bhansali,104,485.12,Fantasy
Mani Ratnam,114,476.73,Crime
Rohit Shetty,115,223.71,Sci-Fi
Anurag Basu,134,322.85,Horror
Mani Ratnam,172,175.28,Romantic Comedy
Vishal Bhardwaj,170,162.78,Romance
Sriram Raghavan,163,369.49,Biography
Anurag Kashyap,103,56.04,Biography
Mani Ratnam,136,86.86,Biography
S.S. Rajamouli,151,488.16,Horror
Rohit Shetty,150,293.98,Romantic Comedy
Imtiaz Ali,120,259.6,Horror
Imtiaz Ali,160,399.08,Animation
Karan Johar,113,362.64,Adventure
Zoya Akhtar,119,181.47,Drama
Shoojit Sircar,114,424.13,Historical
S.S. Rajamouli,137,368.21,Horror
Sanjay Leela Bhansali,122,189.39,Biography
Karan Johar,101,405.5,Comedy
Karan Johar,158,108.84,Historical
Imtiaz Ali,134,465.14,Romance
Prashanth Neel,125,392.84,Romance
Ayan Mukerji,106,490.47,Thriller
Karan Johar,132,156.61,Action
Sandeep Reddy Vanga,130,70.03,Historical
S.S. Rajamouli,156,271.87,Biography
Vishal Bhardwaj,162,429.85,Fantasy
Sanjay Leela Bhansali,177,198.35,Historical
S.S. Rajamouli,170,123.69,Romantic Comedy
Atlee,145,466.51,Biography
Atlee,104,194.35,Comedy
Sanjay Leela Bhansali,114,386.28,Thriller
Imtiaz Ali,94,263.48,Thriller
Karan Johar,111,59.37,Drama
Prashanth Neel,108,26.34,Romance
Shoojit Sircar,112,217.09,Animation
Shoojit Sircar,147,465.0,Action
Rohit Shetty,155,94.88,Animation
Imtiaz Ali,124,466.72,Romantic Comedy
Karan Johar,164,401.88,Musical
Ayan Mukerji,146,446.85,Romantic Comedy
Sandeep Reddy Vanga,155,450.68,Action
Anurag Kashyap,102,46.09,Comedy
Karan Johar,142,42.69,Historical
Imtiaz Ali,155,152.77,Fantasy
Sandeep Reddy Vanga,155,466.01,Musical
Anurag Basu,102,280.67,Fantasy
Sandeep Reddy Vanga,131,446.85,Historical
Ayan Mukerji,93,24.76,Thriller
Anurag Kashyap,139,188.03,Drama
Anurag Basu,100,278.53,Romance
Zoya Akhtar,168,167.02,Sci-Fi
Shoojit Sircar,127,244.92,Biography
Shoojit Sircar,124,339.84,Musical
Prashanth Neel,177,26.85,Adventure
Sanjay Leela Bhansali,178,74.56,Thriller
Karan Johar,116,433.92,Sci-Fi
Shoojit Sircar,122,236.3,Romance
Anurag Basu,107,66.29,Romance
Anurag Kashyap,90,406.72,Historical
Vishal Bhardwaj,174,80.53,Adventure
Prashanth Neel,158,138.96,Comedy
Sriram Raghavan,109,294.13,Horror
Karan Johar,104,469.98,Action
Mani Ratnam,166,422.23,Musical
Anurag Basu,176,498.57,Romance
Prashanth Neel,123,412.84,Sci-Fi
S.S. Rajamouli,173,398.36,Adventure
Sanjay Leela Bhansali,102,332.49,Adventure
S.S. Rajamouli,92,236.69,Animation
Anurag Basu,173,25.3,Fantasy
Prashanth Neel,129,208.53,Romantic Comedy
Sriram Raghavan,177,266.58,Crime
Anurag Kashyap,159,427.18,Action
Shoojit Sircar,110,298.65,Action
Rohit Shetty,90,311.42,Drama
Sriram Raghavan,145,81.49,Romantic Comedy
Anurag Basu,139,440.1,Fantasy
Imtiaz Ali,171,453.68,Historical
Kabir Khan,130,363.21,Fantasy
Lokesh Kanagaraj,176,120.36,Fantasy
Rohit Shetty,136,468.74,Thriller
Sanjay Leela Bhansali,142,122.62,Adventure
Sanjay Leela Bhansali,125,443.4,Horror
Anurag Kashyap,115,335.03,Crime
Karan Johar,149,188.64,Fantasy
Sandeep Reddy Vanga,132,34.48,Comedy
Lokesh Kanagaraj,140,62.5,Sci-Fi
Rajkumar Hirani,122,462.22,Adventure
Prashanth Neel,100,293.32,Horror
Anurag Kashyap,180,231.15,Musical
Atlee,154,470.94,Musical
Shoojit Sircar,125,221.86,Comedy
Atlee,167,324.68,Romance
Rohit Shetty,134,110.6,Action
Sandeep Reddy Vanga,166,414.7,Biography
Anurag Basu,168,254.21,Biography
Ayan Mukerji,145,289.71,Drama
Rajkumar Hirani,124,259.59,Sci-Fi
Kabir Khan,161,108.93,Thriller
Sandeep Reddy Vanga,94,183.27,Animation
Kabir Khan,136,172.34,Thriller
Sanjay Leela Bhansali,149,444.09,Adventure
Rohit Shetty,135,253.38,Historical
Sanjay Leela Bhansali,139,347.14,Historical
Sriram Raghavan,121,219.05,Musical
Karan Johar,173,303.2,Romance
Prashanth Neel,97,328.23,Biography
Sriram Raghavan,95,222.07,Fantasy
Shoojit Sircar,119,21.79,Animation
Imtiaz Ali,140,23.27,Fantasy
Vishal Bhardwaj,99,497.3,Comedy
Vishal Bhardwaj,122,338.46,Drama
Lokesh Kanagaraj,105,94.87,Thriller
Kabir Khan,144,388.02,Musical
Lokesh Kanagaraj,176,326.83,Fantasy
S.S. Rajamouli,127,367.08,Sci-Fi
Ayan Mukerji,127,187.69,Adventure
Rohit Shetty,132,307.7,Sci-Fi
Atlee,128,471.69,Romance
Sandeep Reddy Vanga,130,132.67,Crime
Prashanth Neel,110,157.04,Romance
Shoojit Sircar,166,364.99,Crime
Kabir Khan,135,86.88,Biography
Rajkumar Hirani,120,205.83,Biography
Ayan Mukerji,149,284.92,Comedy
Karan Johar,180,75.07,Comedy
Anurag Basu,138,228.47,Biography
Sriram Raghavan,125,24.96,Crime
Rohit Shetty,111,268.75,Fantasy
Mani Ratnam,101,236.38,Sci-Fi
Imtiaz Ali,152,393.21,Biography
Sanjay Leela Bhansali,137,136.16,Adventure
Prashanth Neel,169,68.35,Sci-Fi
Shoojit Sircar,152,37.64,Fantasy
Vishal Bhardwaj,122,178.25,Musical
Mani Ratnam,93,246.41,Animation
Sandeep Reddy Vanga,113,103.79,Romance
Sandeep Reddy Vanga,174,156.73,Historical
Sanjay Leela Bhansali,99,490.3,Biography
Zoya Akhtar,171,266.81,Drama
Mani Ratnam,161,474.64,Fantasy
Anurag Kashyap,122,151.9,Fantasy
Lokesh Kanagaraj,150,239.56,Romantic Comedy
Anurag Basu,154,49.08,Historical
Karan Johar,125,88.66,Horror
Anurag Kashyap,168,256.96,Thriller
Karan Johar,118,447.53,Fantasy
Ayan Mukerji,123,53.42,Action
Mani Ratnam,158,321.45,Biography
Anurag Basu,168,65.38,Musical
Rohit Shetty,101,179.82,Action
Anurag Kashyap,134,424.79,Biography
Vishal Bhardwaj,151,179.14,Drama
Imtiaz Ali,96,284.51,Fantasy
Prashanth Neel,97,395.78,Historical
Prashanth Neel,120,48.71,Animation
Ayan Mukerji,174,385.19,Romance
Rohit Shetty,113,474.11,Musical
Rohit Shetty,176,77.34,Thriller
Sandeep Reddy Vanga,152,434.31,Thriller
Kabir Khan,91,252.87,Musical
S.S. Rajamouli,147,249.41,Crime
Atlee,170,177.54,Adventure
Vishal Bhardwaj,147,372.4,Biography
Sanjay Leela Bhansali,145,389.1,Fantasy
Zoya Akhtar,157,389.02,Sci-Fi
S.S. Rajamouli,151,305.13,Adventure
Shoojit Sircar,168,172.84,Fantasy
Atlee,155,316.97,Comedy
Anurag Basu,93,459.86,Historical
Lokesh Kanagaraj,91,218.73,Sci-Fi
Lokesh Kanagaraj,172,422.06,Drama
Rajkumar Hirani,147,31.87,Historical
Karan Johar,139,168.82,Thriller
Karan Johar,145,133.95,Biography
Sriram Raghavan,168,49.52,Romance
Anurag Basu,142,84.37,Adventure
Vishal Bhardwaj,114,461.36,Romantic Comedy
Ayan Mukerji,107,408.86,Horror
S.S. Rajamouli,175,423.07,Biography
Anurag Kashyap,96,448.04,Musical
Karan Johar,160,391.53,Action
Kabir Khan,167,133.24,Sci-Fi
Atlee,127,476.12,Romance
Vishal Bhardwaj,154,484.02,Horror
Imtiaz Ali,127,188.62,Musical
S.S. Rajamouli,104,464.76,Biography
Karan Johar,145,274.97,Drama
Rohit Shetty,103,69.86,Romantic Comedy
S.S. Rajamouli,107,239.37,Musical
S.S. Rajamouli,166,277.08,Sci-Fi
Prashanth Neel,170,418.79,Sci-Fi
Shoojit Sircar,126,313.45,Sci-Fi
Rajkumar Hirani,101,85.18,Sci-Fi
Karan Johar,147,278.88,Drama
Sandeep Reddy Vanga,133,160.65,Sci-Fi
Imtiaz Ali,137,472.01,Sci-Fi
Sanjay Leela Bhansali,162,253.23,Sci-Fi
Lokesh Kanagaraj,132,235.77,Biography
Rajkumar Hirani,102,206.44,Adventure
S.S. Rajamouli,133,359.1,Animation
Anurag Basu,113,211.23,Drama
Anurag Kashyap,139,80.74,Crime
Anurag Kashyap,102,69.12,Historical
Kabir Khan,154,181.86,Action
Vishal Bhardwaj,118,449.27,Horror
Zoya Akhtar,133,184.07,Comedy
Karan Johar,138,302.96,Thriller
Sanjay Leela Bhansali,179,105.37,Horror
Rajkumar Hirani,178,267.24,Crime
Sandeep Reddy Vanga,168,457.5,Horror
Ayan Mukerji,167,335.73,Crime
Mani Ratnam,149,105.68,Animation
Mani Ratnam,166,210.92,Crime
Rajkumar Hirani,178,244.03,Musical
S.S. Rajamouli,129,317.43,Drama
S.S. Rajamouli,128,279.27,Comedy
Kabir Khan,138,125.47,Adventure
S.S. Rajamouli,132,176.64,Romantic Comedy
Anurag Basu,171,379.66,Crime
Ayan Mukerji,168,240.3,Historical
Prashanth Neel,156,347.92,Sci-Fi
Sandeep Reddy Vanga,159,72.16,Biography
Anurag Kashyap,158,458.6,Action
Karan Johar,150,340.64,Crime
Zoya Akhtar,96,184.02,Crime
Imtiaz Ali,154,88.14,Romantic Comedy
Sandeep Reddy Vanga,146,154.74,Thriller
Lokesh Kanagaraj,121,82.16,Thriller
Sanjay Leela Bhansali,146,267.5,Historical
Rajkumar Hirani,121,404.97,Animation
S.S. Rajamouli,93,42.43,Horror
Rohit Shetty,109,107.42,Crime
Mani Ratnam,128,236.61,Sci-Fi
Sandeep Reddy Vanga,96,350.24,Thriller
Lokesh Kanagaraj,166,286.12,Drama
Anurag Kashyap,146,165.67,Drama
Shoojit Sircar,145,245.35,Historical
Lokesh Kanagaraj,98,102.62,Musical
S.S. Rajamouli,139,259.36,Thriller
Lokesh Kanagaraj,145,250.24,Horror
Karan Johar,122,254.26,Action
Zoya Akhtar,98,215.68,Animation
Zoya Akhtar,142,321.62,Romantic Comedy
Vishal Bhardwaj,100,48.79,Crime
Kabir Khan,145,495.83,Crime
Anurag Kashyap,131,302.15,Drama
Vishal Bhardwaj,96,423.73,Action
Sanjay Leela Bhansali,104,77.33,Animation
Karan Johar,122,403.41,Crime
S.S. Rajamouli,130,204.66,Animation
Sandeep Reddy Vanga,154,148.31,Historical
Sriram Raghavan,169,367.36,Romantic Comedy
Mani Ratnam,115,194.72,Sci-Fi
Sriram Raghavan,170,33.02,Animation
Sriram Raghavan,130,186.03,Thriller
Ayan Mukerji,179,447.36,Animation
Sriram Raghavan,157,410.17,Horror
S.S. Rajamouli,158,441.09,Crime
Kabir Khan,114,304.71,Horror
S.S. Rajamouli,173,37.12,Action
Anurag Basu,105,356.0,Sci-Fi
Imtiaz Ali,98,307.88,Historical
Shoojit Sircar,165,76.28,Crime
Anurag Kashyap,126,135.26,Fantasy
Atlee,148,169.83,Musical
Rajkumar Hirani,150,200.94,Comedy
S.S. Rajamouli,179,495.65,Romance
Vishal Bhardwaj,109,351.1,Animation
Sriram Raghavan,118,40.73,Musical
Anurag Kashyap,97,66.83,Drama
Lokesh Kanagaraj,167,149.57,Crime
Anurag Kashyap,110,86.7,Animation
Sriram Raghavan,97,239.75,Animation
S.S. Rajamouli,127,93.48,Drama
Imtiaz Ali,175,310.82,Horror
Kabir Khan,100,156.19,Fantasy
Anurag Kashyap,136,339.31,Horror
S.S. Rajamouli,180,20.21,Musical
Anurag Kashyap,177,427.27,Sci-Fi
Imtiaz Ali,104,280.07,Action
Kabir Khan,129,111.06,Historical
Rajkumar Hirani,149,430.97,Musical
Sriram Raghavan,141,365.87,Sci-Fi
Anurag Basu,119,264.49,Crime
Zoya Akhtar,179,124.98,Animation
Zoya Akhtar,92,110.69,Sci-Fi
S.S. Rajamouli,101,409.44,Musical
Atlee,133,295.26,Action
Shoojit Sircar,115,469.77,Crime
Anurag Kashyap,140,214.75,Comedy
Shoojit Sircar,166,361.1,Thriller
Rohit Shetty,119,57.29,Horror
Vishal Bhardwaj,124,58.84,Fantasy
Sanjay Leela Bhansali,122,425.67,Animation
Rohit Shetty,131,149.34,Musical
Imtiaz Ali,114,53.19,Drama
Atlee,143,162.76,Biography
Rohit Shetty,157,427.87,Action
Sriram Raghavan,112,458.3,Drama
Vishal Bhardwaj,100,61.37,Biography
Shoojit Sircar,160,177.9,Adventure
Sandeep Reddy Vanga,90,22.67,Musical
S.S. Rajamouli,159,262.56,Biography
Lokesh Kanagaraj,114,390.27,Crime
Sandeep Reddy Vanga,158,225.67,Romance
Rajkumar Hirani,127,436.69,Historical
Prashanth Neel,101,448.44,Thriller
Rohit Shetty,136,279.76,Animation
Sriram Raghavan,174,429.43,Thriller
Zoya Akhtar,90,464.5,Crime
Karan Johar,141,288.09,Romantic Comedy
Sandeep Reddy Vanga,132,20.83,Animation
Anurag Basu,146,380.0,Romance
Mani Ratnam,112,285.84,Sci-Fi
Sanjay Leela Bhansali,130,471.44,Fantasy
Sanjay Leela Bhansali,100,377.6,Romantic Comedy
Sandeep Reddy Vanga,161,449.46,Crime
Atlee,104,250.13,Musical
Anurag Basu,166,274.54,Historical
S.S. Rajamouli,123,497.44,Historical
Atlee,121,447.78,Thriller
Sanjay Leela Bhansali,123,262.05,Thriller
Lokesh Kanagaraj,163,488.89,Drama
Imtiaz Ali,90,55.19,Romance
Prashanth Neel,100,45.34,Animation
Vishal Bhardwaj,156,128.1,Adventure
Imtiaz Ali,91,492.05,Biography
Prashanth Neel,101,443.6,Crime
Rajkumar Hirani,132,173.01,Thriller
Anurag Kashyap,168,403.41,Historical
Anurag Basu,154,86.56,Romance
S.S. Rajamouli,154,394.75,Fantasy
Mani Ratnam,176,34.88,Comedy
Sriram Raghavan,97,446.68,Drama
Ayan Mukerji,169,338.03,Romance
Karan Johar,180,224.63,Action
Prashanth Neel,171,247.11,Animation
Sandeep Reddy Vanga,127,183.58,Crime
Anurag Basu,90,300.92,Musical
Vishal Bhardwaj,131,351.28,Action
Ayan Mukerji,133,132.84,Drama
Sanjay Leela Bhansali,136,161.11,Romance
Anurag Kashyap,160,440.81,Animation
Sriram Raghavan,147,351.85,Historical
Vishal Bhardwaj,159,42.77,Thriller
Kabir Khan,127,179.2,Musical
Atlee,114,108.66,Thriller
Mani Ratnam,174,302.39,Musical
Sriram Raghavan,90,191.01,Comedy
Rajkumar Hirani,148,286.47,Historical
Kabir Khan,172,297.15,Historical
Karan Johar,159,288.56,Historical
Shoojit Sircar,129,325.74,Adventure
S.S. Rajamouli,140,412.69,Adventure
Karan Johar,165,332.91,Adventure
Karan Johar,120,183.66,Thriller
Sriram Raghavan,168,223.39,Horror
Prashanth Neel,153,489.39,Biography
Anurag Kashyap,153,47.76,Crime
Anurag Basu,146,234.64,Drama
Sriram Raghavan,129,57.62,Horror
Anurag Basu,126,74.13,Historical
Anurag Basu,95,200.16,Drama
Shoojit Sircar,166,72.66,Romance
Sanjay Leela Bhansali,166,411.54,Animation
Rohit Shetty,155,495.08,Adventure
Kabir Khan,173,238.63,Thriller
Vishal Bhardwaj,155,359.09,Animation
S.S. Rajamouli,118,194.17,Fantasy
Rajkumar Hirani,138,350.29,Historical
S.S. Rajamouli,161,369.94,Animation
Imtiaz Ali,174,128.58,Romance
Prashanth Neel,106,232.88,Fantasy
S.S. Rajamouli,125,454.74,Fantasy
Vishal Bhardwaj,133,99.52,Biography
Imtiaz Ali,178,426.56,Animation
Zoya Akhtar,137,84.55,Drama
Anurag Basu,114,172.38,Fantasy
S.S. Rajamouli,176,460.77,Action
Lokesh Kanagaraj,102,425.87,Animation
Vishal Bhardwaj,129,183.04,Comedy
Rohit Shetty,91,178.66,Comedy
Prashanth Neel,140,105.4,Animation
Rohit Shetty,142,372.05,Crime
S.S. Rajamouli,147,280.28,Sci-Fi
Karan Johar,162,96.08,Musical
Ayan Mukerji,109,254.75,Romance
Anurag Kashyap,172,136.59,Sci-Fi
Kabir Khan,142,496.93,Comedy
Sanjay Leela Bhansali,155,102.28,Romance
Mani Ratnam,156,166.36,Thriller
Sandeep Reddy Vanga,134,87.8,Romantic Comedy
Kabir Khan,138,411.45,Biography
Rohit Shetty,97,91.47,Sci-Fi
Rajkumar Hirani,152,52.82,Animation
Anurag Basu,95,208.04,Fantasy
Rajkumar Hirani,139,71.24,Sci-Fi
Kabir Khan,114,33.87,Action
S.S. Rajamouli,172,486.7,Biography
Prashanth Neel,132,448.09,Crime
S.S. Rajamouli,153,207.72,Romantic Comedy
Imtiaz Ali,118,26.27,Comedy
Ayan Mukerji,178,192.49,Crime
Kabir Khan,120,41.9,Historical
Imtiaz Ali,146,496.44,Drama
Shoojit Sircar,119,408.25,Sci-Fi
Anurag Kashyap,95,263.86,Thriller
Imtiaz Ali,134,317.23,Action
Shoojit Sircar,154,151.38,Crime
Sandeep Reddy Vanga,126,424.27,Sci-Fi
Prashanth Neel,136,147.46,Musical
Shoojit Sircar,122,36.46,Sci-Fi
Rohit Shetty,94,26.67,Animation
Anurag Kashyap,109,400.28,Crime
Imtiaz Ali,151,82.35,Horror
Sanjay Leela Bhansali,99,439.74,Drama
Anurag Kashyap,100,161.94,Comedy
Ayan Mukerji,92,332.37,Romance
Kabir Khan,138,295.46,Animation
Shoojit Sircar,105,250.36,Crime
Shoojit Sircar,96,480.42,Musical
Prashanth Neel,100,236.02,Adventure
S.S. Rajamouli,177,174.27,Adventure
Sandeep Reddy Vanga,171,163.92,Action
Mani Ratnam,121,298.85,Action
Anurag Basu,145,415.04,Adventure
Rajkumar Hirani,144,210.72,Romantic Comedy
Atlee,133,406.62,Comedy
Sandeep Reddy Vanga,158,234.85,Musical
S.S. Rajamouli,126,466.74,Crime
Atlee,110,224.74,Historical
S.S. Rajamouli,142,280.74,Romance
Rohit Shetty,145,201.02,Historical
Anurag Basu,173,200.64,Thriller
Mani Ratnam,92,56.77,Crime
Rajkumar Hirani,147,314.77,Biography
Zoya Akhtar,150,288.14,Fantasy
Anurag Basu,135,315.68,Comedy
Kabir Khan,135,39.67,Thriller
Rajkumar Hirani,144,175.86,Biography
Anurag Basu,103,470.36,Fantasy
Lokesh Kanagaraj,136,487.21,Historical
Rajkumar Hirani,159,58.71,Fantasy
S.S. Rajamouli,136,259.36,Romantic Comedy
Vishal Bhardwaj,142,237.08,Action
Zoya Akhtar,119,152.09,Fantasy
Sanjay Leela Bhansali,102,438.82,Action
Sandeep Reddy Vanga,180,218.81,Horror
Sandeep Reddy Vanga,170,334.16,Romance
Lokesh Kanagaraj,127,40.39,Romance
Anurag Kashyap,140,320.59,Horror
Shoojit Sircar,106,397.7,Sci-Fi
Prashanth Neel,100,25.05,Action
Imtiaz Ali,119,158.11,Drama
Vishal Bhardwaj,103,441.02,Romantic Comedy
Atlee,139,299.97,Biography
Rajkumar Hirani,122,83.2,Thriller
Sandeep Reddy Vanga,102,141.16,Romantic Comedy
Prashanth Neel,104,286.83,Horror
Atlee,106,417.69,Crime
Sandeep Reddy Vanga,126,37.43,Comedy
Sriram Raghavan,122,48.53,Thriller
Mani Ratnam,128,436.69,Romantic Comedy
Kabir Khan,105,165.56,Crime
S.S. Rajamouli,148,316.21,Crime
Zoya Akhtar,168,340.92,Adventure
Ayan Mukerji,129,249.37,Horror
Shoojit Sircar,101,403.64,Romantic Comedy
Mani Ratnam,153,130.95,Historical
Kabir Khan,123,366.17,Comedy
Zoya Akhtar,125,483.13,Sci-Fi
Atlee,171,394.05,Horror
Rajkumar Hirani,113,213.73,Animation
Anurag Kashyap,146,136.28,Adventure
S.S. Rajamouli,154,386.49,Romance
Vishal Bhardwaj,173,71.47,Historical
Prashanth Neel,158,155.98,Animation
Kabir Khan,155,276.27,Crime
Sanjay Leela Bhansali,94,273.5,Historical
Karan Johar,141,320.47,Musical
Rajkumar Hirani,115,220.42,Musical
Lokesh Kanagaraj,108,198.59,Adventure
Prashanth Neel,107,249.18,Biography
Karan Johar,128,376.97,Biography
Sriram Raghavan,179,219.26,Musical
Sanjay Leela Bhansali,122,85.66,Romantic Comedy
Sriram Raghavan,152,157.6,Fantasy
S.S. Rajamouli,93,364.08,Thriller
S.S. Rajamouli,123,151.98,Historical
Atlee,109,218.23,Adventure
Ayan Mukerji,91,435.86,Comedy
Sandeep Reddy Vanga,175,261.05,Thriller
Rajkumar Hirani,112,355.66,Romantic Comedy
Rohit Shetty,125,232.22,Romance
Mani Ratnam,130,291.76,Historical
Kabir Khan,159,432.45,Sci-Fi
Mani Ratnam,119,312.07,Horror
Karan Johar,172,55.08,Animation
Imtiaz Ali,127,193.62,Fantasy
Anurag Basu,161,123.25,Fantasy
Zoya Akhtar,107,344.38,Adventure
S.S. Rajamouli,173,185.13,Animation
Kabir Khan,157,287.68,Horror
Imtiaz Ali,148,497.03,Thriller
Karan Johar,179,415.48,Sci-Fi
Sandeep Reddy Vanga,158,372.63,Thriller
Shoojit Sircar,178,487.94,Action
Atlee,126,31.49,Thriller
Prashanth Neel,176,475.22,Drama
Rajkumar Hirani,111,316.29,Animation
